24.08.2019_07:30:59 [CRITICAL] mksbase._set_args  --  running <X> fx [runSeq] - Number of arguments (2)
24.08.2019_07:30:59 [INFO    ] app_env.get_env_vars  -- No env vars to load
24.08.2019_07:30:59 [INFO    ] app_conf.load_app_config  -- Loading config file : D:\Projects\python\debug\config\ventas.cfg
24.08.2019_07:30:59 [DEBUG   ] app_conf.load_app_config  -- Config File Variables ['ssh_host', 'ssh_user', 'ssh_pwsd', 'ssh_port', 'ssh_rmip', 'ssh_rmpt', 'db_host', 'db_user', 'db_pswd', 'db_name', 'db_port']
24.08.2019_07:30:59 [DEBUG   ] app_conf.load_app_config  -- App Variables ['ssh_host', 'ssh_user', 'ssh_pwsd', 'ssh_port', 'ssh_rmip', 'ssh_rmpt', 'db_host', 'db_user', 'db_pswd', 'db_name', 'db_port']
24.08.2019_07:30:59 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = ssh_host --  192.168.1.220
24.08.2019_07:30:59 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = ssh_user --  ubuntu
24.08.2019_07:30:59 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = ssh_pwsd --  lenovo19
24.08.2019_07:30:59 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = ssh_port --  22
24.08.2019_07:30:59 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = ssh_rmip --  127.0.0.1
24.08.2019_07:30:59 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = ssh_rmpt --  3306
24.08.2019_07:30:59 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = db_host --  127.0.0.1
24.08.2019_07:30:59 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = db_user --  root
24.08.2019_07:30:59 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = db_pswd --  lenovo19
24.08.2019_07:30:59 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = db_name --  fingerprint
24.08.2019_07:30:59 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = db_port --  3306
24.08.2019_07:30:59 [INFO    ] mksbase.set_statement_file  --  statements file exist, name:D:\Projects\python\debug\lib\statements\ventas.py
24.08.2019_07:30:59 [INFO    ] mksbase._execSteps  -- runStep = X
24.08.2019_07:30:59 [INFO    ] strutils.float_to_full_date  --  set vars => BVC FARMA E.I.R.L.
24.08.2019_07:31:17 [CRITICAL] mksbase._set_args  --  running <X> fx [runSeq] - Number of arguments (2)
24.08.2019_07:31:17 [INFO    ] app_env.get_env_vars  -- No env vars to load
24.08.2019_07:31:17 [INFO    ] app_conf.load_app_config  -- Loading config file : D:\Projects\python\debug\config\ventas.cfg
24.08.2019_07:31:17 [DEBUG   ] app_conf.load_app_config  -- Config File Variables ['ssh_host', 'ssh_user', 'ssh_pwsd', 'ssh_port', 'ssh_rmip', 'ssh_rmpt', 'db_host', 'db_user', 'db_pswd', 'db_name', 'db_port']
24.08.2019_07:31:17 [DEBUG   ] app_conf.load_app_config  -- App Variables ['ssh_host', 'ssh_user', 'ssh_pwsd', 'ssh_port', 'ssh_rmip', 'ssh_rmpt', 'db_host', 'db_user', 'db_pswd', 'db_name', 'db_port']
24.08.2019_07:31:17 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = ssh_host --  192.168.1.220
24.08.2019_07:31:17 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = ssh_user --  ubuntu
24.08.2019_07:31:17 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = ssh_pwsd --  lenovo19
24.08.2019_07:31:17 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = ssh_port --  22
24.08.2019_07:31:17 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = ssh_rmip --  127.0.0.1
24.08.2019_07:31:17 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = ssh_rmpt --  3306
24.08.2019_07:31:17 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = db_host --  127.0.0.1
24.08.2019_07:31:17 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = db_user --  root
24.08.2019_07:31:17 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = db_pswd --  lenovo19
24.08.2019_07:31:17 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = db_name --  fingerprint
24.08.2019_07:31:17 [DEBUG   ] mksbase.print_config_vars  -- self.config_vars = db_port --  3306
24.08.2019_07:31:17 [INFO    ] mksbase.set_statement_file  --  statements file exist, name:D:\Projects\python\debug\lib\statements\ventas.py
24.08.2019_07:31:17 [INFO    ] mksbase._execSteps  -- runStep = X
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => BVC FARMA E.I.R.L.
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars =>  DEL 01/07/2019 AL 31/07/2019
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => T.NEG
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => DISTRIBUIDORA
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 2619.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 1907-03-05 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1806968
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6847-04-24 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43670.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-26 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 388461
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2963-07-28 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43670.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-26 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1482.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 1904-01-23 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1803840
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6838-09-30 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43664.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-20 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1803733
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6838-06-15 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43664.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-20 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 1568361
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 6194-01-10 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => 43664.0
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set time => 2019-07-20 00:00:00
24.08.2019_07:31:17 [INFO    ] strutils.float_to_full_date  --  set vars => FARMACIA
